Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.993,0.929,1.0,0.987,0.922,1.0,0.845,0.901
3,1.0,0.993,0.897,1.0,0.987,0.841,1.0,0.725,0.725
4,1.0,0.993,0.874,1.0,0.987,0.784,1.0,0.612,0.612
5,1.0,0.993,0.809,1.0,0.987,0.698,1.0,0.521,0.521
6,1.0,0.993,0.789,1.0,0.987,0.638,1.0,0.46,0.46
7,1.0,0.993,0.756,1.0,0.987,0.573,1.0,0.433,0.433
8,1.0,0.993,0.764,1.0,0.987,0.522,1.0,0.458,0.458
9,1.0,0.993,0.771,1.0,0.987,0.629,1.0,0.519,0.519
10,1.0,0.993,0.768,1.0,0.987,0.75,1.0,0.612,0.612
11,1.0,0.993,0.856,1.0,0.987,0.871,1.0,0.724,0.724
12,1.0,0.993,0.929,1.0,0.987,0.94,1.0,0.891,0.903
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
