Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.995,0.951,1.0,0.99,0.931,1.0,0.84,0.899
3,1.0,0.995,0.912,1.0,0.99,0.891,1.0,0.726,0.726
4,1.0,0.995,0.847,1.0,0.99,0.786,1.0,0.615,0.615
5,1.0,0.995,0.792,1.0,0.99,0.701,1.0,0.523,0.523
6,1.0,0.995,0.775,1.0,0.99,0.609,1.0,0.459,0.459
7,1.0,0.995,0.812,1.0,0.99,0.507,1.0,0.435,0.435
8,1.0,0.995,0.815,1.0,0.99,0.592,1.0,0.457,0.457
9,1.0,0.995,0.82,1.0,0.99,0.701,1.0,0.521,0.521
10,1.0,0.995,0.845,1.0,0.99,0.789,1.0,0.615,0.615
11,1.0,0.995,0.888,1.0,0.99,0.852,1.0,0.726,0.726
12,1.0,0.995,0.929,1.0,0.99,0.888,1.0,0.841,0.9
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
