Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.478 ± 0.087,0.130 ± 0.048,0.390 ± 0.059,0.595 ± 0.034,0.056 ± 0.044,0.406 ± 0.039,0.564 ± 0.036,0.857 ± 0.046,0.900 ± 0.012
A1-A3,0.696 ± 0.208,0.417 ± 0.341,0.653 ± 0.220,0.769 ± 0.155,0.318 ± 0.351,0.660 ± 0.250,0.745 ± 0.179,0.810 ± 0.097,0.868 ± 0.097
A1-A4,0.661 ± 0.230,0.386 ± 0.359,0.637 ± 0.238,0.758 ± 0.163,0.298 ± 0.357,0.641 ± 0.263,0.741 ± 0.179,0.845 ± 0.148,0.879 ± 0.101
A2-A1,0.494 ± 0.071,0.135 ± 0.049,0.460 ± 0.049,0.595 ± 0.034,0.056 ± 0.044,0.406 ± 0.039,0.561 ± 0.042,0.857 ± 0.046,0.900 ± 0.012
A2-A3,0.456 ± 0.024,0.120 ± 0.044,0.461 ± 0.046,0.581 ± 0.029,0.050 ± 0.033,0.400 ± 0.029,0.546 ± 0.012,0.803 ± 0.039,0.883 ± 0.027
A2-A4,0.478 ± 0.056,0.132 ± 0.047,0.457 ± 0.047,0.582 ± 0.030,0.058 ± 0.036,0.405 ± 0.026,0.554 ± 0.017,0.815 ± 0.057,0.880 ± 0.030
A3-A1,0.672 ± 0.233,0.406 ± 0.349,0.588 ± 0.246,0.769 ± 0.155,0.318 ± 0.351,0.660 ± 0.250,0.746 ± 0.176,0.810 ± 0.097,0.868 ± 0.097
A3-A2,0.428 ± 0.037,0.114 ± 0.045,0.349 ± 0.055,0.581 ± 0.029,0.050 ± 0.033,0.400 ± 0.029,0.543 ± 0.012,0.803 ± 0.039,0.883 ± 0.027
A3-A4,0.830 ± 0.264,0.696 ± 0.438,0.799 ± 0.296,0.874 ± 0.193,0.645 ± 0.481,0.795 ± 0.302,0.857 ± 0.223,0.958 ± 0.026,0.964 ± 0.031
A4-A1,0.645 ± 0.241,0.377 ± 0.363,0.597 ± 0.233,0.758 ± 0.163,0.298 ± 0.357,0.641 ± 0.263,0.738 ± 0.180,0.845 ± 0.148,0.879 ± 0.101
A4-A2,0.457 ± 0.076,0.127 ± 0.048,0.366 ± 0.069,0.582 ± 0.030,0.058 ± 0.036,0.405 ± 0.026,0.550 ± 0.018,0.815 ± 0.057,0.880 ± 0.030
A4-A3,0.836 ± 0.255,0.698 ± 0.435,0.826 ± 0.246,0.874 ± 0.193,0.645 ± 0.481,0.795 ± 0.302,0.859 ± 0.220,0.958 ± 0.026,0.964 ± 0.031
